Author,votes
N.K. Jemisin,57
Ursula K. Le Guin,57
Lois McMaster Bujold,52
Robin Hobb,47
JK Rowling,47
Naomi Novik,45
Becky Chambers,35
Katherine Addison,33
Martha Wells,29
Jacqueline Carey,29
Susanna Clarke,28
Patricia McKillip,26
Katherine Arden,24
Octavia Butler,22
Tamora Pierce,20
Claire North,19
Ann Leckie,19
Leigh Bardugo,18
Helene Wecker,17
Madeline Miller,17
Janny Wurts,16
Maggie Stiefvater,16
Rachel Aaron,15
Robin McKinley,15
Catherynne Valente,15
Diana Wynne Jones,14
Sherwood Smith,13
Carol Berg,12
Seanan McGuire,12
Anne McCaffrey,12
R.F. Kuang,12
Kate Elliott,11
Patricia Briggs,11
Anne Bishop,11
Nnedi Okorafor,11
Elizabeth Moon,10
Sofia Samatar,10
Fonda Lee,10
Mary Robinette Kowal,10
Juliet Marillier,10
V.E. Schwab,10
Connie Willis,9
Elizabeth Bear,9
C.S. Friedman,9
Rosemary Kirstein,8
Megan Whalen Turner,8
Erin Morgenstern,8
Kameron Hurley,8
Anna Smith Spark,8
Jen Williams,8
Devin Madson,8
Courtney Schafer,8
SA Chakraborty,8
Mercedes Lackey,7
Margaret Atwood,7
Holly Black,7
C.J. Cherryh,7
Susan Cooper,6
Laini Taylor,6
Grace Draven,6
K.S. Villoso,6
Mary Gentle,5
Diana Gabaldon,5
Samantha Shannon,5
Ellen Kushner,5
Mira Grant,5
Ada Palmer,5
Rachel Hartman,5
Sam Hawke,5
Barbara Hambly,5
Marie Brennan,5
Mary Shelley,5
Madeleine L'Engle,5
